name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points
Brandon Clarke,MEM,PF,64,3.7,5.9,0.621,5.1,1,0.8,0.6,8.3
Keon Ellis,SAC,SG,80,2.8,5.8,0.489,2.7,1.5,1.5,0.8,8.3
Brandon Williams,DAL,PG,33,3,5.7,0.521,1.8,2.3,0.7,0.2,8.3
Mike Conley,MIN,PG,71,2.6,6.6,0.4,2.6,4.5,1.1,0.2,8.2
Taurean Prince,MIL,SF,80,2.9,6.4,0.457,3.6,1.9,1,0.2,8.2
Jalen Smith,CHI,C,64,3,6.4,0.466,5.6,1,0.3,0.7,8.2
Quinten Post,GSW,PF,42,2.9,6.5,0.449,3.5,1.3,0.4,0.4,8.1
Peyton Watson,DEN,SF,68,3,6.3,0.477,3.4,1.4,0.7,1.4,8.1
Davion Mitchell,2TM,PG,74,3,6.4,0.468,2.3,4.9,1,0.2,7.9
Davion Mitchell,TOR,PG,44,2.4,5.5,0.434,1.9,4.6,0.7,0.2,6.3
Davion Mitchell,MIA,PG,30,3.9,7.7,0.504,2.7,5.3,1.4,0.3,10.3
Caleb Martin,2TM,SF,45,2.9,6.8,0.424,3.9,2.1,1,0.5,7.9
Caleb Martin,PHI,SF,31,3.3,7.5,0.435,4.4,2.2,1.1,0.6,9.1
Caleb Martin,DAL,SF,14,2,5.1,0.389,2.9,1.9,0.9,0.2,5.4
Tyson Etienne,BRK,PG,7,2.4,7.4,0.327,1.3,1.7,0.4,0.1,7.9
Day'Ron Sharpe,BRK,C,50,3.3,6.3,0.521,6.6,1.8,0.8,0.8,7.9
KJ Simpson,CHO,PG,36,2.9,8.4,0.346,3,3.1,0.9,0.2,7.8
Terance Mann,2TM,SG,67,3.1,6.2,0.496,3,1.8,0.7,0.2,7.7
Terance Mann,LAC,SG,37,2.4,5.3,0.446,2.9,1.6,0.8,0.3,6
Terance Mann,ATL,SG,30,3.9,7.3,0.541,3.1,2.1,0.6,0.1,9.8
Karlo Matković,NOP,PF,42,3.2,5.6,0.574,5,1.1,0.5,1,7.7
AJ Johnson,2TM,SG,29,2.8,7.3,0.385,2,2.6,0.4,0.1,7.6
AJ Johnson,MIL,SG,7,1.1,2.7,0.421,1,1,0.1,0,2.9
AJ Johnson,WAS,SG,22,3.4,8.8,0.381,2.4,3.1,0.5,0.1,9.1
Lonzo Ball,CHI,PG,35,2.5,6.9,0.366,3.4,3.3,1.3,0.5,7.6
Oscar Tshiebwe,UTA,C,14,3,5,0.6,8.7,0.6,0.9,0.1,7.6
Garrison Mathews,ATL,SG,47,2.2,5.5,0.397,1.9,1.3,0.6,0.3,7.5
Matisse Thybulle,POR,SG,15,2.8,5.9,0.477,3.5,1.9,2.2,0.6,7.5
A.J. Green,MIL,SG,73,2.5,5.8,0.429,2.4,1.5,0.5,0.1,7.4
Josh Green,CHO,SG,68,2.6,6.2,0.428,2.5,1.6,1.1,0.2,7.4
Richaun Holmes,WAS,PF,31,2.9,4.5,0.647,5.7,1.4,0.3,0.7,7.4
Damion Baugh,CHO,SG,15,2.8,8.7,0.323,3.3,3.7,1,0.1,7.3
Alec Burks,MIA,SG,49,2.3,5.5,0.424,2.5,1.1,0.6,0.1,7.3
Ricky Council IV,PHI,SF,73,2.4,6.3,0.382,2.9,1.3,0.4,0.2,7.3
Andre Drummond,PHI,C,40,2.9,5.9,0.5,7.8,0.9,1,0.5,7.3
Tre Jones,2TM,PG,46,2.8,5.2,0.538,2.5,4.2,0.8,0.2,7.2
Tre Jones,SAS,PG,28,1.6,3.3,0.484,2.1,3.7,0.6,0.2,4.4
