name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points
Ben Simmons,LAC,PG,18,1.3,2.9,0.434,3.8,3.1,0.7,0.4,2.9
Malaki Branham,SAS,SG,47,1.9,4,0.458,1.1,0.8,0.2,0,5
Neemias Queta,BOS,C,62,2.1,3.3,0.65,3.8,0.7,0.3,0.7,5
Alondes Williams,DET,SG,1,2,2,1,0,1,0,0,5
Jaylen Martin,2TM,SF,16,1.9,4.6,0.419,2.8,1.1,0.6,0,4.9
Jaylen Martin,BRK,SF,3,0.3,0.7,0.5,0,0,0,0,1
Jaylen Martin,WAS,SF,13,2.3,5.5,0.417,3.4,1.3,0.7,0,5.8
Lindy Waters III,2TM,SG,52,1.8,4.8,0.369,2.1,1,0.5,0.2,4.9
Lindy Waters III,GSW,SG,38,2,5.4,0.371,2.5,1.1,0.6,0.3,5.5
Lindy Waters III,DET,SG,14,1.1,3.1,0.364,1,0.7,0.4,0.1,3.4
Trevelin Queen,ORL,SG,31,1.8,4.7,0.381,1.7,1.2,1,0.3,4.9
Jock Landale,HOU,C,42,1.9,3.6,0.533,3.3,0.9,0.3,0.2,4.8
Colin Castleton,3TM,C,26,1.8,3.8,0.469,4.7,1.1,0.3,0.4,4.7
Colin Castleton,MEM,C,10,0.2,1,0.2,0.9,0,0.1,0.1,1.4
Colin Castleton,TOR,C,11,2.9,5.8,0.5,6.9,1.6,0.5,0.7,7.2
Colin Castleton,PHI,C,5,2.4,4.8,0.5,7.4,2,0.2,0.2,6
Taylor Hendricks,UTA,PF,3,1.3,6,0.222,5,0.7,1.7,1.3,4.7
David Roddy,3TM,PF,33,1.7,3.8,0.456,2.5,1.1,0.4,0.3,4.6
David Roddy,ATL,PF,27,1.6,3.4,0.473,2.6,1.1,0.4,0.3,4.5
David Roddy,PHI,PF,3,2.7,6.3,0.421,3,1,0.7,0,6
David Roddy,HOU,PF,3,1.7,4.3,0.385,1.7,0.7,0,0.3,4.3
Drew Eubanks,2TM,C,61,1.9,3.2,0.593,3.7,0.9,0.2,0.6,4.6
Drew Eubanks,UTA,C,37,2.4,3.9,0.607,4.5,1.2,0.3,0.9,5.8
Drew Eubanks,LAC,C,24,1.1,2,0.551,2.4,0.4,0.1,0.3,2.7
Pelle Larsson,MIA,SG,55,1.6,3.7,0.438,1.7,1.2,0.6,0.1,4.6
Julian Phillips,CHI,SF,79,1.6,3.6,0.446,2.1,0.5,0.5,0.3,4.6
Cody Williams,UTA,SG,50,1.7,5.1,0.323,2.3,1.2,0.5,0.3,4.6
Rob Dillingham,MIN,PG,49,1.9,4.3,0.441,1,2,0.4,0,4.5
Jett Howard,ORL,SF,60,1.6,4.4,0.374,1.2,0.7,0.2,0.2,4.5
Kevon Looney,GSW,C,76,1.9,3.7,0.514,6.1,1.6,0.6,0.5,4.5
Mason Plumlee,PHO,C,74,1.7,2.7,0.619,6.1,1.8,0.4,0.6,4.5
Dalen Terry,CHI,SG,73,1.6,3.7,0.448,1.7,1.3,0.6,0.2,4.5
Marvin Bagley III,2TM,PF,31,1.8,3.4,0.519,2.7,0.4,0.3,0.3,4.4
Marvin Bagley III,WAS,C,19,2,3.7,0.535,2.9,0.4,0.4,0.3,4.9
Marvin Bagley III,MEM,PF,12,1.4,2.9,0.486,2.3,0.3,0.2,0.3,3.6
Charles Bassey,SAS,C,36,1.9,3.3,0.581,4.2,0.5,0.4,0.8,4.4
Tony Bradley,IND,C,14,2.1,3.2,0.644,3,0.4,0.1,0.6,4.4
Reggie Jackson,PHI,PG,31,1.7,4.3,0.391,1.4,1.5,0.5,0.1,4.4
Reed Sheppard,HOU,PG,52,1.6,4.6,0.351,1.5,1.4,0.7,0.3,4.4
Lamar Stevens,MEM,PF,17,1.7,3.7,0.46,2.2,0.5,0.3,0.2,4.4
Mo Bamba,2TM,C,32,1.6,3.5,0.464,4.5,0.6,0.3,1,4.3
Mo Bamba,LAC,C,28,1.7,3.7,0.466,4.3,0.6,0.3,1,4.6
Mo Bamba,NOP,C,4,1,2.3,0.444,6.3,0.5,0,0.8,2.5
Jevon Carter,CHI,PG,36,1.5,4.1,0.377,1.1,1.1,0.4,0.1,4.3
Micah Potter,UTA,C,38,1.5,3.6,0.422,4.3,0.8,0.4,0.4,4.3
Terrence Shannon Jr.,MIN,SG,32,1.7,3.6,0.482,1.5,1,0.2,0.2,4.3
Daniel Theis,NOP,C,38,1.6,3.4,0.473,4.3,1.6,0.5,0.5,4.3
Torrey Craig,2TM,SF,26,1.5,3.5,0.422,2.8,0.7,0.3,0.5,4.2
Torrey Craig,CHI,SF,9,2.4,5,0.489,2.8,0.6,0.2,0.1,6.9
Torrey Craig,BOS,SF,17,0.9,2.6,0.356,2.8,0.7,0.4,0.6,2.7
Wendell Moore Jr.,2TM,SG,36,1.6,3.5,0.468,2.6,1.2,0.6,0.1,4.2
Wendell Moore Jr.,DET,SG,20,1.2,2.5,0.46,2.2,1.2,0.5,0.2,3.2
Wendell Moore Jr.,CHO,SG,16,2.3,4.8,0.474,3.2,1.2,0.6,0.1,5.4
Dominick Barlow,ATL,SF,35,1.7,3.2,0.531,2.4,0.5,0.3,0.5,4.2
Kessler Edwards,DAL,SF,40,1.7,3.4,0.496,2.9,1.1,0.5,0.5,4.2
Oso Ighodaro,PHO,PF,61,1.9,3.1,0.604,3.6,1.2,0.5,0.5,4.2
Kris Murray,POR,SF,69,1.7,4,0.419,2.6,1,0.5,0.2,4.2
Duop Reath,POR,C,46,1.5,3.6,0.422,2,0.6,0.3,0.3,4.2
Cam Spencer,MEM,SG,25,1.4,3.3,0.415,1.2,1.4,0.4,0,4.2
Maxwell Lewis,2TM,SF,28,1.6,3.9,0.417,2,0.7,0.3,0.3,4.1
Maxwell Lewis,LAL,SF,7,0.3,0.9,0.333,0.3,0.3,0.1,0,0.6
Maxwell Lewis,BRK,SF,21,2,4.9,0.422,2.5,0.8,0.4,0.3,5.3
Jaylen Clark,MIN,SG,40,1.4,3,0.467,1.3,0.7,0.9,0.1,4.1
Caleb Houstan,ORL,SF,58,1.4,3.3,0.421,1.3,0.6,0.4,0.1,4.1
Jordan Miller,LAC,SF,37,1.6,3.6,0.433,1.6,0.9,0.5,0.1,4.1
Jalen Pickett,DEN,SG,49,1.6,3.7,0.428,1.4,2.2,0.4,0.1,4.1
Paul Reed,DET,C,45,1.6,3.2,0.507,2.7,1,0.9,0.6,4.1
Gui Santos,GSW,PF,56,1.5,3.2,0.458,3.1,1.4,0.4,0.2,4.1
Jarred Vanderbilt,LAL,PF,36,1.6,3.4,0.488,5.1,1.1,1,0.3,4.1
Colby Jones,2TM,SG,39,1.5,3.3,0.457,2.2,1.1,0.7,0.3,4
Colby Jones,SAC,SG,24,0.5,1.1,0.423,1,0.3,0.3,0.3,1.1
Colby Jones,WAS,SG,15,3.2,6.9,0.466,4.3,2.5,1.3,0.4,8.7
Nicolas Batum,LAC,PF,78,1.3,3.1,0.437,2.8,1.1,0.7,0.5,4
Malachi Flynn,CHO,PG,4,1.3,3.3,0.385,1.8,1.8,0.8,0,4
Ron Harper Jr.,DET,SF,1,1,8,0.125,7,2,0,0,4
Josh Richardson,MIA,SG,8,1.4,4.8,0.289,1.5,1.5,1,0.1,4
Steven Adams,HOU,C,58,1.6,2.9,0.545,5.6,1.1,0.4,0.5,3.9
Kyle Lowry,PHI,PG,35,1.2,3.3,0.35,1.9,2.7,0.9,0.3,3.9
Olivier-Maxence Prosper,DAL,PF,52,1.3,3.3,0.402,2.4,0.8,0.5,0.1,3.9
Patty Mills,2TM,PG,29,1.2,3.3,0.375,0.8,0.9,0.4,0.1,3.8
Patty Mills,UTA,PG,17,1.5,4.5,0.342,1.2,1.2,0.7,0.2,4.4
Patty Mills,LAC,PG,12,0.8,1.7,0.5,0.1,0.4,0.1,0,3.1
Branden Carlson,OKC,C,32,1.3,3,0.443,1.7,0.4,0.2,0.7,3.8
Devin Carter,SAC,PG,36,1.3,3.5,0.37,2.1,1.1,0.6,0.1,3.8
Ousmane Dieng,OKC,C,37,1.5,3.4,0.432,2.2,0.8,0.5,0.2,3.8
Markieff Morris,2TM,PF,15,1.4,4.7,0.3,1.5,1.4,0.1,0.2,3.7
Markieff Morris,DAL,PF,7,0.7,3.1,0.227,1.1,0.6,0.1,0.1,1.7
Markieff Morris,LAL,PF,8,2,6,0.333,1.9,2.1,0.1,0.3,5.5
Emoni Bates,CLE,SF,10,1.3,3.8,0.342,0.7,0.8,0.1,0.1,3.7
DeAndre Jordan,DEN,C,56,1.6,2.5,0.65,5.1,0.9,0.3,0.5,3.7
Craig Porter Jr.,CLE,PG,51,1.4,2.7,0.514,1.3,1.4,0.3,0.3,3.7
Jackson Rowe,GSW,PF,6,1.3,2.8,0.471,1.8,0.7,0.7,0,3.7
Blake Wesley,SAS,SG,58,1.4,3.2,0.435,1.1,2,0.6,0.1,3.7
JT Thor,2TM,PF,20,1.3,3,0.424,2.4,0.3,0.4,0.5,3.6
JT Thor,CLE,PF,9,1,1.7,0.6,0.7,0.1,0.2,0.3,3.1
JT Thor,WAS,PF,11,1.5,4,0.364,3.8,0.5,0.5,0.5,3.9
Baylor Scheierman,BOS,SG,31,1.3,3.5,0.355,2.1,1.1,0.5,0.1,3.6
Jae'Sean Tate,HOU,SF,52,1.3,2.8,0.473,2.3,0.9,0.5,0.1,3.6
Jaylon Tyson,CLE,SG,47,1.4,3.2,0.43,2,0.9,0.3,0.1,3.6
Elfrid Payton,2TM,PG,24,1.7,5.1,0.328,3.3,6.9,1,0.5,3.5
Elfrid Payton,NOP,PG,18,2.1,5.6,0.366,3.7,8.1,1,0.4,4.4
Elfrid Payton,CHO,PG,6,0.5,3.5,0.143,2.2,3.3,1,0.5,1
Luka Garza,MIN,C,39,1.3,2.7,0.495,1.4,0.3,0.2,0.1,3.5
Cory Joseph,ORL,PG,50,1.2,3.1,0.403,1.5,1.4,0.5,0.1,3.5
Doug McDermott,SAC,SF,42,1.2,2.8,0.427,0.5,0.2,0.1,0,3.5
Dario Šarić,DEN,C,16,1.3,3.6,0.362,3.1,1.4,0.4,0.1,3.5
Jamaree Bouyea,MIL,PG,5,1.2,2.4,0.5,1,2,0.8,0.4,3.4
Bruno Fernando,TOR,C,17,1.5,2.9,0.531,3,1.1,0.2,0.5,3.4
Andre Jackson Jr.,MIL,SG,67,1.4,2.9,0.477,2.7,1.2,0.5,0.2,3.4
Isaac Jones,SAC,PF,40,1.4,2.1,0.651,1.4,0.3,0.1,0.3,3.4
Kevin Knox,GSW,SF,14,1.3,2.6,0.5,1.2,0.4,0.1,0.3,3.3
Damion Lee,PHO,SG,25,1.1,3,0.365,0.8,0.4,0.2,0,3.3
Jeenathan Williams,HOU,SG,20,1.4,3.1,0.435,0.7,0.5,0.4,0.2,3.3
Elijah Harkless,UTA,SG,10,1.1,3.5,0.314,2.1,0.8,1,0.1,3.2
Zeke Nnaji,DEN,PF,57,1.2,2.5,0.496,1.6,0.4,0.4,0.7,3.2
Cam Reddish,LAL,SF,33,1.2,2.8,0.404,2,0.7,1,0.3,3.2
Delon Wright,2TM,PG,40,1.1,3.3,0.344,1.7,1.9,0.9,0.3,3.1
Delon Wright,MIL,PG,26,0.8,3.2,0.268,1.8,1.8,0.9,0.3,2.5
Delon Wright,NYK,PG,14,1.6,3.5,0.469,1.4,2.1,0.9,0.2,4.3
Kylor Kelley,2TM,C,11,1.3,2,0.636,3.5,0.5,0.1,0.3,3.1
Kylor Kelley,DAL,C,8,1.3,1.6,0.769,2.6,0.3,0,0.3,3
Kylor Kelley,NOP,C,3,1.3,3,0.444,6,1,0.3,0.3,3.3
Gary Harris,ORL,SG,48,1.1,2.8,0.383,1.3,0.6,0.5,0.3,3
Maxi Kleber,DAL,PF,34,1.1,2.8,0.385,2.8,1.3,0.3,0.5,3
Taze Moore,POR,SG,2,1,5,0.2,4,0.5,1,0,3
Rayan Rupert,POR,SG,52,1.1,2.7,0.408,1.3,0.5,0.3,0.1,3
P.J. Tucker,NYK,SF,3,1,2.3,0.429,2.7,0,0.3,0.3,3
Pete Nance,2TM,PF,13,1.1,2.5,0.438,1.6,0.8,0.2,0.2,2.9
Pete Nance,PHI,C,7,0.7,2.1,0.333,1.4,0.4,0.1,0,2.1
Pete Nance,MIL,PF,6,1.5,2.8,0.529,1.8,1.2,0.2,0.3,3.8
Markelle Fultz,SAC,PG,21,1.3,3.2,0.418,1,1.3,0.5,0.1,2.9
Taj Gibson,CHO,C,37,1.3,2.6,0.495,3.2,0.6,0.2,0.5,2.9
Tyler Smith,MIL,PF,23,1,2.2,0.48,1.1,0.2,0.1,0.2,2.9
RayJ Dennis,IND,PG,11,1,3,0.333,1.1,1.3,0.6,0.2,2.7
David Duke Jr.,SAS,SG,6,1,2.3,0.429,0.8,0.7,0.2,0,2.7
Keshad Johnson,MIA,SF,16,1.1,1.6,0.692,1.8,0.3,0.3,0.3,2.7
Reece Beekman,2TM,PG,36,1,3,0.327,1.1,1.8,0.9,0.1,2.6
Reece Beekman,GSW,PG,2,0.5,0.5,1,0.5,0.5,0.5,0,1
Reece Beekman,BRK,PG,34,1,3.1,0.321,1.1,1.8,0.9,0.1,2.7
Jae Crowder,SAC,PF,9,0.8,2.4,0.318,2.2,0.7,0.3,0,2.6
Josh Minott,MIN,SF,46,1,2,0.489,1,0.4,0.3,0.3,2.6
Hunter Tyson,DEN,PF,51,0.9,2.4,0.375,1.5,0.4,0.2,0.1,2.6
Jaden Springer,2TM,SG,43,0.8,2.1,0.389,1.3,0.8,0.6,0.1,2.5
Jaden Springer,BOS,SG,26,0.5,1.3,0.353,0.9,0.4,0.5,0,1.7
Jaden Springer,UTA,PG,17,1.4,3.3,0.411,2,1.4,0.7,0.2,3.8
Trey Jemison,2TM,C,38,1.1,1.9,0.554,2.8,0.4,0.2,0.4,2.5
Trey Jemison,NOP,C,16,0.9,2,0.469,2.8,0.6,0.4,0.4,2.4
Trey Jemison,LAL,C,22,1.2,1.9,0.619,2.8,0.3,0.1,0.4,2.6
Anthony Gill,WAS,PF,51,0.8,1.7,0.489,1.3,0.3,0.2,0,2.5
Dillon Jones,OKC,SF,54,0.9,2.5,0.383,2.2,1.1,0.3,0.1,2.5
Pat Spencer,GSW,PG,39,1.1,2.6,0.406,1.2,1.2,0.4,0.1,2.5
Johnny Davis,WAS,SG,34,0.9,2.3,0.41,1.1,0.3,0.4,0.2,2.4
Christian Koloko,LAL,C,37,1.1,1.8,0.606,2.5,0.4,0.2,0.4,2.4
John Konchar,MEM,SG,46,0.9,2,0.451,3.3,0.9,0.7,0.3,2.4
MarJon Beauchamp,3TM,SF,35,0.8,1.9,0.415,1.3,0.3,0.1,0,2.3
MarJon Beauchamp,MIL,SF,26,0.7,1.8,0.383,1.2,0.3,0.1,0,2
MarJon Beauchamp,LAC,SF,3,1.3,2.3,0.571,1,0.7,0,0,4
MarJon Beauchamp,NYK,SF,6,0.8,1.8,0.455,1.5,0.2,0.2,0,2.5
Bronny James,LAL,SG,27,0.8,2.5,0.313,0.7,0.8,0.3,0.1,2.3
Mason Jones,SAC,SG,10,0.9,1.8,0.5,0.9,1.1,0,0.1,2.3
Miles Norris,BOS,PF,3,0.7,3,0.222,3,0,0.7,0.3,2.3
Patrick Baldwin Jr.,2TM,SF,24,0.8,1.5,0.543,1,0.1,0.1,0.1,2.2
Patrick Baldwin Jr.,WAS,SF,22,0.8,1.5,0.515,1,0.1,0.1,0.1,2.1
Patrick Baldwin Jr.,LAC,SF,2,1,1,1,1.5,0.5,0,0,3
Drew Peterson,BOS,PF,25,0.7,1.6,0.415,1.6,0.5,0.2,0.1,2.2
TyTy Washington Jr.,PHO,PG,16,0.9,2.8,0.311,0.8,1,0.2,0,2.2
Jordan McLaughlin,2TM,PG,46,0.7,1.6,0.431,0.7,1.1,0.3,0,2.1
Jordan McLaughlin,SAC,PG,28,0.6,1.6,0.364,0.8,0.9,0.4,0,1.9
Jordan McLaughlin,SAS,PG,18,0.8,1.6,0.536,0.5,1.5,0.3,0.1,2.5
JD Davison,BOS,PG,16,0.8,2.1,0.353,0.8,0.8,0.3,0.1,2.1
Chris Duarte,CHI,SG,17,0.7,1.5,0.462,1.2,0.5,0,0,2.1
Enrique Freeman,IND,PF,22,0.7,1.7,0.432,1.4,0.4,0.1,0.1,2.1
Johnny Furphy,IND,SG,50,0.7,1.8,0.38,1.4,0.4,0.4,0.2,2.1
Dwight Powell,DAL,C,55,0.8,1.1,0.689,2.1,1,0.3,0.4,2.1
Josh Christopher,MIA,SG,14,0.8,2.2,0.355,0.6,0.6,0.4,0.2,2
Tyler Kolek,NYK,PG,41,0.7,2,0.329,0.7,1.7,0.3,0.1,2
Adama Sanogo,CHI,C,4,1,1.8,0.571,1.5,0.3,0,0,2
Kobe Brown,LAC,PF,40,0.8,1.8,0.458,1.6,0.6,0.2,0.1,1.9
Ariel Hukporti,NYK,C,25,0.8,1.2,0.677,2,0.4,0,0.6,1.9
Bobi Klintman,DET,SF,8,0.8,1.3,0.6,0.9,0.9,0.3,0.1,1.9
Garrett Temple,TOR,SG,28,0.6,2.1,0.3,1,1.1,0.6,0.1,1.9
Jericho Sims,2TM,C,53,0.8,1.3,0.634,3.7,0.6,0.2,0.4,1.8
Jericho Sims,NYK,C,39,0.7,1.2,0.609,3.3,0.6,0.2,0.3,1.6
Jericho Sims,MIL,C,14,1.2,1.8,0.68,4.9,0.8,0.1,0.6,2.4
Vlatko Čančar,DEN,PF,13,0.8,2,0.385,2.5,0.7,0.2,0.2,1.8
Adam Flagler,OKC,SG,37,0.7,2.6,0.26,0.7,0.3,0.2,0.1,1.8
Trentyn Flowers,LAC,SF,6,0.7,1.8,0.364,0.7,0,0,0,1.8
E.J. Liddell,CHI,PF,12,0.7,1.3,0.533,0.8,0.3,0.1,0.1,1.8
Jahmir Young,CHI,PG,6,0.7,0.8,0.8,0.5,1,0,0,1.8
Pacome Dadiet,NYK,SG,18,0.6,1.7,0.323,1,0.3,0.2,0.1,1.7
Alex Ducas,OKC,SG,21,0.6,1.4,0.4,1.2,0.2,0.2,0,1.7
PJ Hall,DEN,C,19,0.7,1.3,0.583,1.2,0.2,0,0.2,1.7
Emanuel Miller,CHI,PF,6,0.7,1.3,0.5,1.3,0.3,0.2,0,1.7
Tristan Thompson,CLE,C,40,0.8,1.8,0.437,3.4,0.6,0.1,0.3,1.7
Alex Len,2TM,C,46,0.7,1.4,0.508,2.1,0.8,0.2,0.5,1.6
Alex Len,SAC,C,36,0.6,1.1,0.537,1.8,0.8,0.2,0.5,1.4
Alex Len,LAL,C,10,1,2.2,0.455,3.1,0.8,0.1,0.3,2.2
Yuki Kawamura,MEM,PG,22,0.5,1.4,0.367,0.5,0.9,0.1,0,1.6
Jack McVeigh,HOU,PF,9,0.6,1.9,0.294,0.6,0.1,0,0.2,1.6
Armel Traoré,LAL,SF,9,0.7,2.1,0.316,1.7,0.1,0.4,0.2,1.6
Jordan Walsh,BOS,PF,52,0.6,1.6,0.361,1.3,0.4,0.2,0.2,1.6
Phillip Wheeler,PHI,PF,5,0.6,4.2,0.143,1.6,0.4,0.2,0.4,1.6
Sidy Cissoko,2TM,SF,22,0.6,1.4,0.433,1,0.7,0.1,0,1.5
Sidy Cissoko,SAS,SF,17,0.5,1.1,0.5,0.6,0.4,0.1,0,1.3
Sidy Cissoko,POR,SF,5,0.8,2.4,0.333,2.2,1.8,0.2,0.2,2
Jazian Gortman,DAL,PG,16,0.6,1.4,0.391,0.3,0.4,0.1,0.1,1.5
Kevin McCullar Jr.,NYK,SF,4,0.5,1.8,0.286,2,0.5,0.3,0.3,1.5
Leonard Miller,MIN,SF,13,0.5,1.2,0.4,0.8,0,0.2,0.1,1.5
Quincy Olivari,LAL,PG,2,0.5,2.5,0.2,0,0.5,0,0,1.5
Matt Ryan,NYK,SF,19,0.5,1.6,0.323,0.4,0.2,0.1,0,1.5
Jacob Toppin,2TM,SF,17,0.5,1.3,0.409,0.9,0.4,0.1,0,1.4
Jacob Toppin,NYK,SF,16,0.2,0.6,0.3,0.7,0.3,0.1,0,0.4
Jacob Toppin,ATL,SF,1,6,12,0.5,4,2,0,0,17
Cam Christie,LAC,SG,13,0.5,1.8,0.292,0.9,0.5,0.4,0.1,1.4
Chris Livingston,MIL,SF,21,0.4,1.3,0.333,1.7,0.2,0.2,0,1.4
Trey Alexander,DEN,SG,24,0.5,1.7,0.317,0.5,0.5,0.1,0,1.3
Spencer Jones,DEN,SF,20,0.6,1.7,0.324,0.9,0.3,0.3,0.3,1.3
Skal Labissière,SAC,PF,4,0.5,1,0.5,0.8,0.3,0,0,1.3
Jalen Bridges,PHO,SF,8,0.3,0.9,0.286,0.5,0,0,0,1.1
Yuri Collins,GSW,PG,2,0.5,1.5,0.333,1.5,2,1,0,1
Daniss Jenkins,DET,PG,7,0.4,1.4,0.3,0.3,0.4,0,0,1
Braxton Key,GSW,SF,3,0,1.3,0,0.7,0,0.7,0,1
Bryce McGowens,POR,SG,13,0.3,1.1,0.286,0.2,0.2,0.1,0,1
Xavier Tillman Sr.,BOS,C,33,0.4,1.6,0.245,1.3,0.2,0.3,0.2,1
Luke Travers,CLE,SG,12,0.4,1.7,0.25,1.7,0.7,0.1,0.1,1
Isaiah Crawford,SAC,SF,15,0.3,0.7,0.455,0.5,0.1,0.1,0.1,0.9
Justin Minaya,POR,SF,19,0.4,1.1,0.381,0.5,0.4,0.3,0.1,0.9
Anton Watson,NYK,SF,9,0.4,1,0.444,0.3,0.2,0.1,0,0.9
D.J. Carton,TOR,SG,4,0.3,1.8,0.143,1,0.8,0.5,0,0.8
PJ Dozier,MIN,SG,9,0.2,0.3,0.667,0.6,0.6,0.1,0,0.8
Joe Ingles,MIN,SF,19,0.3,1.2,0.261,0.6,1.2,0.1,0,0.8
Harrison Ingram,SAS,SF,5,0.4,0.8,0.5,1.8,0.6,0.6,0,0.8
Ulrich Chomche,TOR,PF,7,0.3,0.7,0.4,1.1,0.3,0,0.1,0.7
James Johnson,IND,PF,12,0.3,0.9,0.364,0.5,0.3,0,0.2,0.7
Liam Robbins,MIL,C,13,0.2,0.6,0.25,0.9,0.2,0.2,0.2,0.7
Stanley Umude,MIL,SG,22,0.2,1.2,0.192,0.8,0.2,0.1,0.3,0.7
Cui Yongxi,BRK,SG,5,0.2,1.4,0.143,0.4,0,0,0,0.6
Tristen Newton,2TM,SG,8,0.1,1,0.125,0.5,0.3,0.1,0,0.4
Tristen Newton,IND,SG,5,0.2,1.2,0.167,0,0.2,0,0,0.6
Tristen Newton,MIN,SG,3,0,0.7,0,1.3,0.3,0.3,0,0
Malevy Leons,OKC,SF,6,0,0.3,0,0.5,0.2,0,0,0.3
Daishen Nix,MIN,PG,3,0,0.3,0,1.3,1,0,0,0.3
Terence Davis,SAC,SG,1,0,2,0,1,1,0,0,0
Jesse Edwards,MIN,C,2,0,0,0,0,0.5,0,0,0
Mac McClung,ORL,SG,2,0,1,0,0.5,1.5,0,0,0
Jalen McDaniels,WAS,SF,4,0,0,0,0,0.3,0.3,0,0
Riley Minix,SAS,SF,1,0,1,0,2,0,0,0,0
Jahlil Okafor,IND,C,1,0,0,0,1,1,0,0,0
Zyon Pullin,MEM,SG,3,0,0.3,0,0,0,0,0,0
Isaiah Stevens,MIA,PG,3,0,0.7,0,0.7,0,0.3,0,0
Terry Taylor,SAC,PF,3,0,0.3,0,0.3,0.7,0,0,0
