id,name,team_id,position,games_played,field_goals_made,field_goals_attempted,field_goals_percentage,rebounds,assists,steals,blocks,points,turnovers,efficiency
585,Elfrid Payton,NOP,PG,18.0,2.1,5.6,0.366,3.7,8.1,1.0,0.4,4.4,2.9,8.5
586,Elfrid Payton,CHO,PG,6.0,0.5,3.5,0.143,2.2,3.3,1.0,0.5,1.0,1.2,8.5
587,Luka Garza,MIN,C,39.0,1.3,2.7,0.495,1.4,0.3,0.2,0.1,3.5,0.3,18.8
588,Cory Joseph,ORL,PG,50.0,1.2,3.1,0.403,1.5,1.4,0.5,0.1,3.5,0.4,10.9
589,Doug McDermott,SAC,SF,42.0,1.2,2.8,0.427,0.5,0.2,0.1,0.0,3.5,0.1,9.5
590,Dario Šarić,DEN,C,16.0,1.3,3.6,0.362,3.1,1.4,0.4,0.1,3.5,0.9,7.7
591,Jamaree Bouyea,MIL,PG,5.0,1.2,2.4,0.5,1.0,2.0,0.8,0.4,3.4,1.6,9.7
592,Bruno Fernando,TOR,C,17.0,1.5,2.9,0.531,3.0,1.1,0.2,0.5,3.4,0.8,15.3
593,Andre Jackson Jr.,MIL,SG,67.0,1.4,2.9,0.477,2.7,1.2,0.5,0.2,3.4,0.9,8.6
594,Isaac Jones,SAC,PF,40.0,1.4,2.1,0.651,1.4,0.3,0.1,0.3,3.4,0.4,15.2
595,Kevin Knox,GSW,SF,14.0,1.3,2.6,0.5,1.2,0.4,0.1,0.3,3.3,0.3,17.1
596,Damion Lee,PHO,SG,25.0,1.1,3.0,0.365,0.8,0.4,0.2,0.0,3.3,0.4,11.9
597,Jeenathan Williams,HOU,SG,20.0,1.4,3.1,0.435,0.7,0.5,0.4,0.2,3.3,0.7,8.6
598,Elijah Harkless,UTA,SG,10.0,1.1,3.5,0.314,2.1,0.8,1.0,0.1,3.2,0.3,7.8
599,Zeke Nnaji,DEN,PF,57.0,1.2,2.5,0.496,1.6,0.4,0.4,0.7,3.2,0.2,12.0
600,Cam Reddish,LAL,SF,33.0,1.2,2.8,0.404,2.0,0.7,1.0,0.3,3.2,0.4,7.4
601,Delon Wright,multi_team,PG,40.0,1.1,3.3,0.344,1.7,1.9,0.9,0.3,3.1,0.6,9.2
602,Delon Wright,MIL,PG,26.0,0.8,3.2,0.268,1.8,1.8,0.9,0.3,2.5,0.5,9.2
603,Delon Wright,NYK,PG,14.0,1.6,3.5,0.469,1.4,2.1,0.9,0.2,4.3,0.6,9.2
604,Kylor Kelley,multi_team,C,11.0,1.3,2.0,0.636,3.5,0.5,0.1,0.3,3.1,0.4,12.1
605,Kylor Kelley,DAL,C,8.0,1.3,1.6,0.769,2.6,0.3,0.0,0.3,3.0,0.1,12.1
606,Kylor Kelley,NOP,C,3.0,1.3,3.0,0.444,6.0,1.0,0.3,0.3,3.3,1.0,12.1
607,Gary Harris,ORL,SG,48.0,1.1,2.8,0.383,1.3,0.6,0.5,0.3,3.0,0.4,6.9
608,Maxi Kleber,DAL,PF,34.0,1.1,2.8,0.385,2.8,1.3,0.3,0.5,3.0,0.7,5.6
609,Taze Moore,POR,SG,2.0,1.0,5.0,0.2,4.0,0.5,1.0,0.0,3.0,1.0,7.1
610,Rayan Rupert,POR,SG,52.0,1.1,2.7,0.408,1.3,0.5,0.3,0.1,3.0,0.6,8.1
611,P.J. Tucker,NYK,SF,3.0,1.0,2.3,0.429,2.7,0.0,0.3,0.3,3.0,0.3,5.5
612,Pete Nance,multi_team,PF,13.0,1.1,2.5,0.438,1.6,0.8,0.2,0.2,2.9,0.3,8.5
613,Pete Nance,PHI,C,7.0,0.7,2.1,0.333,1.4,0.4,0.1,0.0,2.1,0.0,8.5
614,Pete Nance,MIL,PF,6.0,1.5,2.8,0.529,1.8,1.2,0.2,0.3,3.8,0.7,8.5
615,Markelle Fultz,SAC,PG,21.0,1.3,3.2,0.418,1.0,1.3,0.5,0.1,2.9,0.7,8.9
616,Taj Gibson,CHO,C,37.0,1.3,2.6,0.495,3.2,0.6,0.2,0.5,2.9,0.7,10.8
617,Tyler Smith,MIL,PF,23.0,1.0,2.2,0.48,1.1,0.2,0.1,0.2,2.9,0.3,15.2
618,RayJ Dennis,IND,PG,11.0,1.0,3.0,0.333,1.1,1.3,0.6,0.2,2.7,0.5,13.9
619,David Duke Jr.,SAS,SG,6.0,1.0,2.3,0.429,0.8,0.7,0.2,0.0,2.7,0.3,12.2
620,Keshad Johnson,MIA,SF,16.0,1.1,1.6,0.692,1.8,0.3,0.3,0.3,2.7,0.3,19.1
621,Reece Beekman,multi_team,PG,36.0,1.0,3.0,0.327,1.1,1.8,0.9,0.1,2.6,0.6,7.5
622,Reece Beekman,GSW,PG,2.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.0,7.5
623,Reece Beekman,BRK,PG,34.0,1.0,3.1,0.321,1.1,1.8,0.9,0.1,2.7,0.6,7.5
624,Jae Crowder,SAC,PF,9.0,0.8,2.4,0.318,2.2,0.7,0.3,0.0,2.6,0.4,6.6
625,Josh Minott,MIN,SF,46.0,1.0,2.0,0.489,1.0,0.4,0.3,0.3,2.6,0.2,15.5
626,Hunter Tyson,DEN,PF,51.0,0.9,2.4,0.375,1.5,0.4,0.2,0.1,2.6,0.3,9.0
627,Jaden Springer,multi_team,SG,43.0,0.8,2.1,0.389,1.3,0.8,0.6,0.1,2.5,0.4,10.7
628,Jaden Springer,BOS,SG,26.0,0.5,1.3,0.353,0.9,0.4,0.5,0.0,1.7,0.2,10.7
629,Jaden Springer,UTA,PG,17.0,1.4,3.3,0.411,2.0,1.4,0.7,0.2,3.8,0.7,10.7
630,Trey Jemison,multi_team,C,38.0,1.1,1.9,0.554,2.8,0.4,0.2,0.4,2.5,0.6,8.9
631,Trey Jemison,NOP,C,16.0,0.9,2.0,0.469,2.8,0.6,0.4,0.4,2.4,0.6,8.9
632,Trey Jemison,LAL,C,22.0,1.2,1.9,0.619,2.8,0.3,0.1,0.4,2.6,0.6,8.9
633,Anthony Gill,WAS,PF,51.0,0.8,1.7,0.489,1.3,0.3,0.2,0.0,2.5,0.2,10.2
634,Dillon Jones,OKC,SF,54.0,0.9,2.5,0.383,2.2,1.1,0.3,0.1,2.5,0.5,8.1
635,Pat Spencer,GSW,PG,39.0,1.1,2.6,0.406,1.2,1.2,0.4,0.1,2.5,0.5,12.6
636,Johnny Davis,WAS,SG,34.0,0.9,2.3,0.41,1.1,0.3,0.4,0.2,2.4,0.2,10.2
637,Christian Koloko,LAL,C,37.0,1.1,1.8,0.606,2.5,0.4,0.2,0.4,2.4,0.3,13.0
638,John Konchar,MEM,SG,46.0,0.9,2.0,0.451,3.3,0.9,0.7,0.3,2.4,0.3,12.1
639,MarJon Beauchamp,multi_team,SF,35.0,0.8,1.9,0.415,1.3,0.3,0.1,0.0,2.3,0.4,12.3
640,MarJon Beauchamp,MIL,SF,26.0,0.7,1.8,0.383,1.2,0.3,0.1,0.0,2.0,0.5,12.3
641,MarJon Beauchamp,LAC,SF,3.0,1.3,2.3,0.571,1.0,0.7,0.0,0.0,4.0,0.3,12.3
642,MarJon Beauchamp,NYK,SF,6.0,0.8,1.8,0.455,1.5,0.2,0.2,0.0,2.5,0.2,12.3
643,Bronny James,LAL,SG,27.0,0.8,2.5,0.313,0.7,0.8,0.3,0.1,2.3,0.5,7.1
644,Mason Jones,SAC,SG,10.0,0.9,1.8,0.5,0.9,1.1,0.0,0.1,2.3,0.1,20.6
645,Miles Norris,BOS,PF,3.0,0.7,3.0,0.222,3.0,0.0,0.7,0.3,2.3,0.0,8.5
646,Patrick Baldwin Jr.,multi_team,SF,24.0,0.8,1.5,0.543,1.0,0.1,0.1,0.1,2.2,0.2,16.2
647,Patrick Baldwin Jr.,WAS,SF,22.0,0.8,1.5,0.515,1.0,0.1,0.1,0.1,2.1,0.2,16.2
648,Patrick Baldwin Jr.,LAC,SF,2.0,1.0,1.0,1.0,1.5,0.5,0.0,0.0,3.0,0.0,16.2
649,Drew Peterson,BOS,PF,25.0,0.7,1.6,0.415,1.6,0.5,0.2,0.1,2.2,0.3,10.5
650,TyTy Washington Jr.,PHO,PG,16.0,0.9,2.8,0.311,0.8,1.0,0.2,0.0,2.2,0.2,6.5
651,Jordan McLaughlin,multi_team,PG,46.0,0.7,1.6,0.431,0.7,1.1,0.3,0.0,2.1,0.3,12.3
652,Jordan McLaughlin,SAC,PG,28.0,0.6,1.6,0.364,0.8,0.9,0.4,0.0,1.9,0.4,12.3
653,Jordan McLaughlin,SAS,PG,18.0,0.8,1.6,0.536,0.5,1.5,0.3,0.1,2.5,0.3,12.3
654,JD Davison,BOS,PG,16.0,0.8,2.1,0.353,0.8,0.8,0.3,0.1,2.1,0.8,6.5
655,Chris Duarte,CHI,SG,17.0,0.7,1.5,0.462,1.2,0.5,0.0,0.0,2.1,0.1,16.5
656,Enrique Freeman,IND,PF,22.0,0.7,1.7,0.432,1.4,0.4,0.1,0.1,2.1,0.3,7.4
657,Johnny Furphy,IND,SG,50.0,0.7,1.8,0.38,1.4,0.4,0.4,0.2,2.1,0.2,9.8
658,Dwight Powell,DAL,C,55.0,0.8,1.1,0.689,2.1,1.0,0.3,0.4,2.1,0.3,12.9
659,Josh Christopher,MIA,SG,14.0,0.8,2.2,0.355,0.6,0.6,0.4,0.2,2.0,0.4,9.4
660,Tyler Kolek,NYK,PG,41.0,0.7,2.0,0.329,0.7,1.7,0.3,0.1,2.0,0.4,10.3
661,Adama Sanogo,CHI,C,4.0,1.0,1.8,0.571,1.5,0.3,0.0,0.0,2.0,0.3,15.2
662,Kobe Brown,LAC,PF,40.0,0.8,1.8,0.458,1.6,0.6,0.2,0.1,1.9,0.3,10.8
663,Ariel Hukporti,NYK,C,25.0,0.8,1.2,0.677,2.0,0.4,0.0,0.6,1.9,0.8,7.6
664,Bobi Klimulti_teaman,DET,SF,8.0,0.8,1.3,0.6,0.9,0.9,0.3,0.1,1.9,0.1,15.9
665,Garrett Temple,TOR,SG,28.0,0.6,2.1,0.3,1.0,1.1,0.6,0.1,1.9,0.4,8.5
666,Jericho Sims,multi_team,C,53.0,0.8,1.3,0.634,3.7,0.6,0.2,0.4,1.8,0.6,10.0
667,Jericho Sims,NYK,C,39.0,0.7,1.2,0.609,3.3,0.6,0.2,0.3,1.6,0.5,10.0
668,Jericho Sims,MIL,C,14.0,1.2,1.8,0.68,4.9,0.8,0.1,0.6,2.4,0.9,10.0
669,Vlatko Čančar,DEN,PF,13.0,0.8,2.0,0.385,2.5,0.7,0.2,0.2,1.8,0.8,4.6
670,Adam Flagler,OKC,SG,37.0,0.7,2.6,0.26,0.7,0.3,0.2,0.1,1.8,0.1,3.7
671,Trentyn Flowers,LAC,SF,6.0,0.7,1.8,0.364,0.7,0.0,0.0,0.0,1.8,0.2,4.3
672,E.J. Liddell,CHI,PF,12.0,0.7,1.3,0.533,0.8,0.3,0.1,0.1,1.8,0.2,11.1
673,Jahmir Young,CHI,PG,6.0,0.7,0.8,0.8,0.5,1.0,0.0,0.0,1.8,0.2,16.8
674,Pacome Dadiet,NYK,SG,18.0,0.6,1.7,0.323,1.0,0.3,0.2,0.1,1.7,0.2,6.3
675,Alex Ducas,OKC,SG,21.0,0.6,1.4,0.4,1.2,0.2,0.2,0.0,1.7,0.2,10.1
676,PJ Hall,DEN,C,19.0,0.7,1.3,0.583,1.2,0.2,0.0,0.2,1.7,0.1,18.3
677,Emanuel Miller,CHI,PF,6.0,0.7,1.3,0.5,1.3,0.3,0.2,0.0,1.7,0.0,18.1
678,Tristan Thompson,CLE,C,40.0,0.8,1.8,0.437,3.4,0.6,0.1,0.3,1.7,0.4,9.1
679,Alex Len,multi_team,C,46.0,0.7,1.4,0.508,2.1,0.8,0.2,0.5,1.6,0.4,10.6
680,Alex Len,SAC,C,36.0,0.6,1.1,0.537,1.8,0.8,0.2,0.5,1.4,0.3,10.6
681,Alex Len,LAL,C,10.0,1.0,2.2,0.455,3.1,0.8,0.1,0.3,2.2,0.9,10.6
682,Yuki Kawamura,MEM,PG,22.0,0.5,1.4,0.367,0.5,0.9,0.1,0.0,1.6,0.2,11.0
683,Jack McVeigh,HOU,PF,9.0,0.6,1.9,0.294,0.6,0.1,0.0,0.2,1.6,0.2,4.0
684,Armel Traoré,LAL,SF,9.0,0.7,2.1,0.316,1.7,0.1,0.4,0.2,1.6,0.3,3.5
685,Jordan Walsh,BOS,PF,52.0,0.6,1.6,0.361,1.3,0.4,0.2,0.2,1.6,0.3,6.9
686,Phillip Wheeler,PHI,PF,5.0,0.6,4.2,0.143,1.6,0.4,0.2,0.4,1.6,0.2,-2.3
687,Sidy Cissoko,multi_team,SF,22.0,0.6,1.4,0.433,1.0,0.7,0.1,0.0,1.5,0.5,6.7
688,Sidy Cissoko,SAS,SF,17.0,0.5,1.1,0.5,0.6,0.4,0.1,0.0,1.3,0.1,6.7
689,Sidy Cissoko,POR,SF,5.0,0.8,2.4,0.333,2.2,1.8,0.2,0.2,2.0,1.8,6.7
690,Jazian Gomulti_teaman,DAL,PG,16.0,0.6,1.4,0.391,0.3,0.4,0.1,0.1,1.5,0.3,6.5
691,Kevin McCullar Jr.,NYK,SF,4.0,0.5,1.8,0.286,2.0,0.5,0.3,0.3,1.5,0.0,6.7
692,Leonard Miller,MIN,SF,13.0,0.5,1.2,0.4,0.8,0.0,0.2,0.1,1.5,0.2,19.9
693,Quincy Olivari,LAL,PG,2.0,0.5,2.5,0.2,0.0,0.5,0.0,0.0,1.5,0.5,-5.2
694,Matt Ryan,NYK,SF,19.0,0.5,1.6,0.323,0.4,0.2,0.1,0.0,1.5,0.2,6.1
695,Jacob Toppin,multi_team,SF,17.0,0.5,1.3,0.409,0.9,0.4,0.1,0.0,1.4,0.2,9.2
696,Jacob Toppin,NYK,SF,16.0,0.2,0.6,0.3,0.7,0.3,0.1,0.0,0.4,0.1,9.2
697,Jacob Toppin,ATL,SF,1.0,6.0,12.0,0.5,4.0,2.0,0.0,0.0,17.0,1.0,9.2
698,Cam Christie,LAC,SG,13.0,0.5,1.8,0.292,0.9,0.5,0.4,0.1,1.4,0.2,9.1
699,Chris Livingston,MIL,SF,21.0,0.4,1.3,0.333,1.7,0.2,0.2,0.0,1.4,0.3,9.8
700,Trey Alexander,DEN,SG,24.0,0.5,1.7,0.317,0.5,0.5,0.1,0.0,1.3,0.2,2.9
701,Spencer Jones,DEN,SF,20.0,0.6,1.7,0.324,0.9,0.3,0.3,0.3,1.3,0.3,4.5
702,Skal Labissière,SAC,PF,4.0,0.5,1.0,0.5,0.8,0.3,0.0,0.0,1.3,0.0,15.9
703,Jalen Bridges,PHO,SF,8.0,0.3,0.9,0.286,0.5,0.0,0.0,0.0,1.1,0.5,-0.1
704,Yuri Collins,GSW,PG,2.0,0.5,1.5,0.333,1.5,2.0,1.0,0.0,1.0,0.0,13.9
705,Daniss Jenkins,DET,PG,7.0,0.4,1.4,0.3,0.3,0.4,0.0,0.0,1.0,0.1,-0.1
706,Braxton Key,GSW,SF,3.0,0.0,1.3,0.0,0.7,0.0,0.7,0.0,1.0,0.3,1.1
707,Bryce McGowens,POR,SG,13.0,0.3,1.1,0.286,0.2,0.2,0.1,0.0,1.0,0.3,1.7
708,Xavier Tillman Sr.,BOS,C,33.0,0.4,1.6,0.245,1.3,0.2,0.3,0.2,1.0,0.4,2.4
709,Luke Travers,CLE,SG,12.0,0.4,1.7,0.25,1.7,0.7,0.1,0.1,1.0,0.7,1.9
710,Isaiah Crawford,SAC,SF,15.0,0.3,0.7,0.455,0.5,0.1,0.1,0.1,0.9,0.1,9.2
711,Justin Minaya,POR,SF,19.0,0.4,1.1,0.381,0.5,0.4,0.3,0.1,0.9,0.3,5.0
712,Anton Watson,NYK,SF,9.0,0.4,1.0,0.444,0.3,0.2,0.1,0.0,0.9,0.2,5.9
713,D.J. Carton,TOR,SG,4.0,0.3,1.8,0.143,1.0,0.8,0.5,0.0,0.8,1.0,-2.6
714,PJ Dozier,MIN,SG,9.0,0.2,0.3,0.667,0.6,0.6,0.1,0.0,0.8,0.1,9.5
715,Joe Ingles,MIN,SF,19.0,0.3,1.2,0.261,0.6,1.2,0.1,0.0,0.8,0.5,2.4
716,Harrison Ingram,SAS,SF,5.0,0.4,0.8,0.5,1.8,0.6,0.6,0.0,0.8,0.2,10.9
717,Ulrich Chomche,TOR,PF,7.0,0.3,0.7,0.4,1.1,0.3,0.0,0.1,0.7,0.3,5.2
718,James Johnson,IND,PF,12.0,0.3,0.9,0.364,0.5,0.3,0.0,0.2,0.7,0.3,0.0
719,Liam Robbins,MIL,C,13.0,0.2,0.6,0.25,0.9,0.2,0.2,0.2,0.7,0.5,2.6
720,Stanley Umude,MIL,SG,22.0,0.2,1.2,0.192,0.8,0.2,0.1,0.3,0.7,0.1,3.4
721,Cui Yongxi,BRK,SG,5.0,0.2,1.4,0.143,0.4,0.0,0.0,0.0,0.6,0.0,-10.7
722,Tristen Newton,multi_team,SG,8.0,0.1,1.0,0.125,0.5,0.3,0.1,0.0,0.4,0.3,-6.1
723,Tristen Newton,IND,SG,5.0,0.2,1.2,0.167,0.0,0.2,0.0,0.0,0.6,0.2,-6.1
724,Tristen Newton,MIN,SG,3.0,0.0,0.7,0.0,1.3,0.3,0.3,0.0,0.0,0.3,-6.1
725,Malevy Leons,OKC,SF,6.0,0.0,0.3,0.0,0.5,0.2,0.0,0.0,0.3,0.2,-2.3
726,Daishen Nix,MIN,PG,3.0,0.0,0.3,0.0,1.3,1.0,0.0,0.0,0.3,1.3,-7.0
727,Terence Davis,SAC,SG,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0
728,Jesse Edwards,MIN,C,2.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,-0.1
729,Mac McClung,ORL,SG,2.0,0.0,1.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,-0.3
730,Jalen McDaniels,WAS,SF,4.0,0.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,10.9
731,Riley Minix,SAS,SF,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.7
732,Jahlil Okafor,IND,C,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,13.8
733,Zyon Pullin,MEM,SG,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.7
734,Isaiah Stevens,MIA,PG,3.0,0.0,0.7,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.1
735,Terry Taylor,SAC,PF,3.0,0.0,0.3,0.0,0.3,0.7,0.0,0.0,0.0,0.0,9.8

